"Account number",'Número de cuenta'
"Bank code",'Código de identificación bancaria'
"Holder",'Titular de la cuenta'
"Amount",'Importe'
"Transaction Id: %s",'ID de la transacción: %s'
"Transaction Id","Transaktions-ID"
"Order No.: ",'Núme. '
"Payment was successful.",'La orden con sofortbanking ha sido transmitida correctamente. La ID de su transacción es: %s'
"Payment successfull. Invoice needs to be confirmed.", 'La orden con Kauf auf Rechnung se ha transmitido correctamente. El vendedor aún no ha confirmado. El ID de la transacción es: %s"
"Payment was not successfull",'Se ha producido un error durante el procesamiento de la orden.'
"Sofortueberweisung payment loaded.",'sofortbanking ha sido seleccionado como medio de pago. Transacción no completada.'
"Vorkasse by sofort payment loaded.",'Ha seleccionado pago anticipado como método de pago. Transacción no completada.'
"sofortlastschrift payment loaded.",'sofortlastschrift ha sido seleccionado como método de pago. Transacción no completa.'
"Lastschrift by sofort payment loaded.",'Ha seleccionado Lastschrift by sofort como método de pago. Transacción no completada.'
"Rechnung by sofort payment loaded.",'Se ha seleccionado Compra con factura como método de pago. Transacción no completada.'
"Please fill out the account holder",'Por favor, rellene los campos número de cuenta, código de identificación bancaria y titular de la cuenta.'
"Please fill out the account number",'Por favor, rellene los campos número de cuenta, código de identificación bancaria y titular de la cuenta.'
"Please fill out the bank code",'Por favor, rellene los campos número de cuenta, código de identificación bancaria y titular de la cuenta.'
"Cancelation of payment",'El método de pago seleccionado no está disponible o ha sido cancelado por el cliente. Por favor, seleccione otro método de pago.'
"Project password",'Contraseña del proyecto'
"Notification password", 'Contraseña de notificación'
"Create Invoice",'Crear factura después del pago'
"Projekt Id",'Número de proyecto'
"User Id",'Número de cliente'
"Sofortueberweisung",'sofortbanking'
"customer protection",'sofortbanking con protección del comprador'
"Direct payment method of Payment Network AG.",'sofortbanking es el método de pago gratis de Payment Network AG certificado por la TÜV de Alemania.'
"Rechnung by sofort",'Rechnung by sofort'
"Orders with Rechnung by sofort",'Kauf auf Rechnung'
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.",'Kauf auf Rechnung con garantía de pago.'
"sofortlastschrift",'sofortlastschrift'
"Secure direct debit system.",'La nota de cargo segura de Payment Network AG.'
"Vorkasse by sofort",'Vorkasse by sofort'
"Vorkasse",'Pago adelantado'
"Automated money order system.",'Pago adelantado con saldo automático.'
"Lastschrift by sofort",'Lastschrift by sofort'
"Lastschrift",'Domiciliación bancaria (cargo en cuenta)'
"Lastschriftverfahren",'Domiciliación bancaria automática de Payment Network AG.'
"sofortueberweisung and other sofort-products",'sofortbanking y otros productos de sofort'
"More",'Más información'
"Error while saving this configuration: ",'Error al guardar.: '
"Item was successfully saved",'Guardado correctamente.'
"Edit Cart","Warenkorb bearbeiten"
"Update Invoice","bearbeitete Rechnung speichern"
"Your benefit:",'Sus ventajas:'
"Edit Cart","Warenkorb bearbeiten"
"Certified payment method",'<ul><li>Sistema de pago con la Protección de Datos certificada por el TÜV</li><li>No requiere registrarse</li><li>Las mercancías y/o servicios son enviados INMEDIATAMENTE según disponibilidad</li><li>Por favor, tenga a la mano sus datos de banca online (PIN/TAN)</li></ul>'
"Certified payment method, direct debit",'<ul><li>Sistema de pago con la Protección de Datos certificada por el TÜV</li><li>No requiere registrarse</li><li>Las mercancías y/o servicios son enviados INMEDIATAMENTE</li><li>Por favor, tenga a la mano sus datos de banca online (PIN/TAN)</li></ul>'
"Help",'Ayuda'
"Learn More",'Más información'
"Sort sequence",'Secuencia de visualización'
"Confirmed order status","Bestätigter Bestellstatus"
"Activate module","Modul aktiviert"
"Label","Bezeichnung"
"Enabled",'Módulo activado'
"Payment from applicable countries",'Restringir países'
"Payment from Specific countries",'Restringir países'
"Money received.",'Pago recibido.' 
"Customer returned payment",'Para esta transacción existe una devolución de cargo .  '
"Please pay to the following account",'Por favor, utilice los siguientes datos para la transferencia.'
"Your order # is: %s.","Ihre Bestellnummer lautet: %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten eine Bestätigungs per E-Mail mit den Details Ihrer Bestellung und einem Link zum Bearbeitungsstatus."
"Reason",'Concepto'
"Reason 2",'Concepto 2'
"Please confirm our privacy policy.",'Por favor, acepte la política de protección de datos personales.'
"The invoice has been canceled.",'La factura ha sido anulada. Abono en cuenta hecho.'
"Configuration key",'Llave de configuración'
"Successfully confirmed invoice: %s",'%s'
"Successfully canceled invoice: %s",'La factura ha sido anulada. %s"
"Successfully canceled invoice. Credit memo created: %s",'La factura ha sido anulada. Abono en cuenta hecho. %s'
"Banner or text",'Banner o texto para la selección de opciones de pago'
"All products deactivated due to errors, initiation aborted.", ''
"Must not be empty.", 'Los datos están incompletos o son erróneos. Por corríjalos o contacte con el administrador de la tienda.'
"Not in list of valid values.", 'No se encuentra en el rango de valores válidos.'
"Must be a positive number.", 'El valor debe ser positivo.'
"Unsupported currency.", 'De momento sólo se pueden realizar órdenes en euro. Por favor, corrija el valor o inténtelo de nuevo.'
"Amount is out of range.", 'El importe total es muy alto o demasiado bajo. Por favor, corrija o contacte con el administrador de la tienda.'
