"Account number","Numero di conto"
"Bank code","Codice ABI"
"Holder","Intestatario del conto"
"Amount","Importo"
"Transaction Id: %s","ID della transazione: %s"
"Transaction Id","Transaktions-ID"
"Order No.: ","Nume. "
"Payment was successful.","Ordine con sofortbanking trasmesso con successo. Il tuo ID della transazione: %s"
"Payment successfull. Invoice needs to be confirmed.", "Ordine con acquisto su fattura trasmesso con successo. Conferma del venditore non ancora avvenuta. Il tuo ID della transazione: %s"
"Payment was not successfull","Si è verificato un errore durante l\"ordinazione."
"Sofortueberweisung payment loaded.","sofortbanking selezionata come modalità di pagamento. Transazione non conclusa."
"Vorkasse by sofort payment loaded.","Pagamento anticipato selezionato come modalità di pagamento. Transazione non conclusa."
"sofortlastschrift payment loaded.","sofortlastschrift selezionato come metodo di pagamento. Transazione non conclusa."
"Lastschrift by sofort payment loaded.","Addebito by sofort selezionato come metodo di pagamento. Transazione non conclusa."
"Rechnung by sofort payment loaded.","Acquisto su fattura selezionato come metodo di pagamento. Transazione non conclusa."
"Please fill out the account holder","Ti preghiamo di compilare completamente i campi relativi al numero di conto, codice ABI e intestatario del conto."
"Please fill out the account number","Ti preghiamo di compilare completamente i campi relativi al numero di conto, codice ABI e intestatario del conto."
"Please fill out the bank code","Ti preghiamo di compilare completamente i campi relativi al numero di conto, codice ABI e intestatario del conto."
"Cancelation of payment","La modalità di pagamento selezionata non è disponibile o è stata annullata dall\"acquirente. Ti preghiamo di selezionare un\"altra modalità di pagamento."
"Project password","Password di progetto"
"Notification password", "Password di notifica"
"Create Invoice","Creare fattura dopo il pagamento"
"Projekt Id","ID progetto"
"User Id","ID cliente"
"Sofortueberweisung","sofortbanking"
"customer protection","sofortbanking con protezione dell\"acquirente"
"Direct payment method of Payment Network AG.","sofortüberweisung è il servizio di pagamento gratuito e certificato TÜV di Payment Network AG."
"Rechnung by sofort","Rechnung by sofort"
"Orders with Rechnung by sofort","Acquisto su fattura"
"Rechnung","Kauf auf Rechnung"
"Invoice with payment guarantee.","Acquisto su fattura con garanzia di pagamento."
"sofortlastschrift","sofortlastschrift"
"Secure direct debit system.","Il sistema di addebito sicuro di Payment Network AG."
"Vorkasse by sofort","Vorkasse by sofort"
"Vorkasse","Vorkasse"
"Automated money order system.","Pagamento anticipato con saldo automatico."
"Lastschrift by sofort","Lastschrift by sofort"
"Lastschrift","Prelievo bancario (addebito)"
"Lastschriftverfahren","Addebito diretto automatico di Payment Network AG."
"sofortueberweisung and other sofort-products","sofortbanking e altri prodotti di sofort"
"More","maggiori informazioni"
"Error while saving this configuration: ","Errore durante il salvataggio.: "
"Item was successfully saved","salvato con successo."
"Edit Cart","Warenkorb bearbeiten"
"Update Invoice","bearbeitete Rechnung speichern"
"Your benefit:","I tuoi vantaggi:"
"Edit Cart","Warenkorb bearbeiten"
"Certified payment method","<ul><li>Sistema di pagamento con protezione dei dati certificata TÜV</li><li>Registrazione non necessaria</li><li>Merce/servizio può essere spedita/o SUBITO</li><li>Ti preghiamo di avere a disposizione i dati per l\"online banking (PIN/password dispositiva)</li></ul>"
"Certified payment method, direct debit","<ul><li>Sistema di pagamento con protezione dei dati certificata TÜV</li><li>Registrazione non necessaria</li><li>Merce/servizio può essere spedita/o SUBITO</li><li>Ti preghiamo di avere a disposizione il codice PIN per la banca online</li></ul>"
"Help","Aiuto"
"Learn More","maggiori informazioni"
"Sort sequence","Ordine di visualizzazione"
"Confirmed order status","Bestätigter Bestellstatus"
"Activate module","Modul aktiviert"
"Label","Bezeichnung"
"Enabled","Modulo attivato"
